datetime_gmt8,league,league_short,league_flag,league_color,home_name,away_name,odds_1,odds_x,odds_2,league_tier,competition_type,is_future,status,ah_line_home,ah_line_away,ah_odds_home,ah_odds_away,home_score,away_score,has_recommendation,rec_text,line,rec_odds,ev,confidence,kings_call,kings_call_agreement,primary_signal,secondary_signal
2025-09-27 22:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Ipswich Town,Portsmouth,1.53,4.2,5.5,2,league,True,incomplete,-1.0,1.0,1.925,1.925,0,0,True,Portsmouth +1.0,1.0,1.925,0.21683432810107073,High,,,kings-call,value
2025-09-27 22:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Watford,Hull City,2.23,3.0,3.05,2,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 22:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Stoke City,Norwich City,2.05,3.65,3.35,2,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 22:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Sheffield Wednesday,Queens Park Rangers,2.87,3.5,2.5,2,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,True,Queens Park Rangers -0.0,-0.0,1.925,0.10138708288451037,High,,,hot-pick,value
2025-09-27 22:00:00,Scotland Premiership,Premiership,🏴󠁧󠁢󠁳󠁣󠁴󠁿,#005eb8,Celtic,Hibernian,1.3,4.33,8.5,3,league,True,incomplete,-1.25,1.25,1.925,1.925,0,0,True,Hibernian +1.25,1.25,1.925,0.37597839011077594,High,,,kings-call,value
2025-09-27 22:00:00,Scotland Premiership,Premiership,🏴󠁧󠁢󠁳󠁣󠁴󠁿,#005eb8,Dundee United,Kilmarnock,2.01,3.38,3.06,3,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 22:00:00,Scotland Premiership,Premiership,🏴󠁧󠁢󠁳󠁣󠁴󠁿,#005eb8,Hearts,Falkirk,1.59,3.75,4.4,3,league,True,incomplete,-0.75,0.75,1.925,1.925,0,0,True,Falkirk +0.75,0.75,1.925,0.12035980351992714,High,,,hot-pick,value
2025-09-27 22:00:00,Scotland Premiership,Premiership,🏴󠁧󠁢󠁳󠁣󠁴󠁿,#005eb8,St. Mirren,Dundee,1.53,3.7,5.1,3,league,True,incomplete,-1.0,1.0,1.925,1.925,0,0,True,Dundee +1.0,1.0,1.925,0.30806377940852947,High,,,kings-call,value
2025-09-27 22:00:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,Manchester City,Burnley,1.19,7.2,14.0,1,league,True,incomplete,-2.0,2.0,1.925,1.925,0,0,True,Burnley +2.0,2.0,1.925,0.48492457234363184,High,,,kings-call,value
2025-09-27 22:00:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,Crystal Palace,Liverpool,4.0,4.0,1.8,1,league,True,incomplete,0.75,-0.75,1.925,1.925,0,0,True,Liverpool -0.75,-0.75,1.925,0.22639872763291297,High,,,kings-call,value
