dt_gmt8,cum_bankroll
2025-08-01 03:00:00+00:00,1170591560.46
2025-08-01 06:30:00+00:00,1197661490.3
2025-08-02 02:30:00+00:00,256959204.05
2025-08-02 02:45:00+00:00,989902567.58
2025-08-02 18:00:00+00:00,1253053334.23
2025-08-02 19:35:00+00:00,1291126311.25
2025-08-02 20:00:00+00:00,1226569995.69
2025-08-02 22:00:00+00:00,1254934426.84
2025-08-02 23:00:00+00:00,1312975144.08
2025-08-03 00:15:00+00:00,1105718282.14
2025-08-03 00:30:00+00:00,1156857752.69
2025-08-03 01:30:00+00:00,1099014865.05
2025-08-03 02:45:00+00:00,1112556621.15
2025-08-03 03:00:00+00:00,1293291523.57
2025-08-03 05:30:00+00:00,1263201075.09
2025-08-03 08:00:00+00:00,1230119723.37
2025-08-03 19:35:00+00:00,1191120197.37
2025-08-03 20:00:00+00:00,1131564187.5
2025-08-03 22:00:00+00:00,1137807870.73
2025-08-03 23:00:00+00:00,1190431484.75
2025-08-04 00:30:00+00:00,1045570115.54
2025-08-04 01:15:00+00:00,1157062202.19
2025-08-04 03:00:00+00:00,263804256.78
2025-08-04 05:30:00+00:00,1209895258.04
2025-08-04 07:30:00+00:00,1234940852.88
2025-08-05 03:00:00+00:00,283576230.89
2025-08-05 07:00:00+00:00,1173193810.24
2025-08-06 01:00:00+00:00,1155605737.95
2025-08-06 02:00:00+00:00,1229508249.77
2025-08-06 02:45:00+00:00,281088839.45
2025-08-06 23:00:00+00:00,1271645522.46
2025-08-07 01:00:00+00:00,1211923703.84
2025-08-07 02:45:00+00:00,1178413892.94
2025-08-07 03:00:00+00:00,1219363666.4
2025-08-07 08:30:00+00:00,1296494865.39
2025-08-08 00:00:00+00:00,1302923526.81
2025-08-08 00:30:00+00:00,1287989119.5
2025-08-08 01:00:00+00:00,1334238383.04
2025-08-08 01:30:00+00:00,1374157049.15
2025-08-08 02:00:00+00:00,1337612616.28
2025-08-08 02:30:00+00:00,1464203020.28
2025-08-08 02:45:00+00:00,1434708350.17
2025-08-08 03:00:00+00:00,1421795420.64
2025-08-08 07:00:00+00:00,1471479515.39
2025-08-08 08:00:00+00:00,1515633040.59
2025-08-08 18:30:00+00:00,1562575013.74
2025-08-08 19:35:00+00:00,1368647776.76
